 Loading file: /3d-ultimate-chicken-horse/models/blocks/wood_block_321.glb.
Loaded 1 of 18 files.
 Loading file: /3d-ultimate-chicken-horse/models/traps/spikes.glb.
Loaded 2 of 19 files.
 Loading file: /3d-ultimate-chicken-horse/models/traps/bow.glb.
Loaded 3 of 20 files.
 Loading file: /3d-ultimate-chicken-horse/models/traps/arrrow.glb.
Loaded 4 of 21 files.
 Loading file: /3d-ultimate-chicken-horse/models/blocks/platform.glb.
Loaded 5 of 22 files.
 Loading file: /3d-ultimate-chicken-horse/models/characters/horse/horse.glb.
Loaded 6 of 23 files.
 Loading file: /3d-ultimate-chicken-horse/models/characters/raccoon/raccoon.glb.
Loaded 7 of 24 files.
 Loading file: /3d-ultimate-chicken-horse/models/characters/chicken/chicken.glb.
Loaded 8 of 25 files.
 Loading file: blob:http://localhost:5173/305df802-aac6-4085-9e86-83b616fbbfd7.
Loaded 9 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/blocks/wood_block_321.glb.
Loaded 10 of 26 files.
 Loading file: blob:http://localhost:5173/13e6413f-2f1e-4043-b4bc-c9f97aef8c9e.
Loaded 11 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/traps/spikes.glb.
Loaded 12 of 26 files.
 Loading file: blob:http://localhost:5173/0f7c0ca9-eb68-4825-a15f-d079f36b1657.
Loaded 13 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/traps/arrrow.glb.
Loaded 14 of 26 files.
 Loading file: blob:http://localhost:5173/e01c3ea1-51ec-4867-a869-cad34b603a1f.
Loaded 15 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/blocks/platform.glb.
Loaded 16 of 26 files.
 Loading file: blob:http://localhost:5173/3f0fb4a6-5229-4c9d-ad81-f0dd1371ac98.
Loaded 17 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/characters/horse/horse.glb.
Loaded 18 of 26 files.
 Loading file: blob:http://localhost:5173/ae767413-88e9-458e-859e-6239437576b0.
Loaded 19 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/traps/bow.glb.
Loaded 20 of 26 files.
 Loading file: blob:http://localhost:5173/f59b671e-5ee8-426b-8381-a9771b6ee810.
Loaded 21 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/characters/raccoon/raccoon.glb.
Loaded 22 of 26 files.
 Loading file: blob:http://localhost:5173/8ed2ba75-a039-4399-b7b6-d8b264e35432.
Loaded 23 of 26 files.
 [Resources] Loaded chicken model. Size: 0.48, 0.61, 0.52
 Loading file: /3d-ultimate-chicken-horse/models/characters/chicken/chicken.glb.
Loaded 24 of 26 files.
 Loading file: /3d-ultimate-chicken-horse/models/blocks/cloud.glb.
Loaded 25 of 26 files.
 Loading file: blob:http://localhost:5173/ac6f5077-8812-4b6c-bcaa-2081aeaee48b.
Loaded 26 of 27 files.
 Loading file: /3d-ultimate-chicken-horse/models/blocks/cloud.glb.
Loaded 27 of 27 files.
 [CharacterRig] Found 7 animations for chicken: Array(7)
 My Peer ID is: 66bb01e2-e7e8-4254-acc1-7cb2d4a8d7ce
 [CharacterRig] Found 7 animations for horse: Array(7)
 [CharacterRig] Found 7 animations for horse: Array(7)
UIManager.ts?t=1767027847723:70 Uncaught 
UIManager.ts?t=1767027847723:70 Uncaught 
 Placed wood_block_321 at mesh.y=0.500, body.y=0.500, halfHeight=0.5
UIManager.ts?t=1767027847723:70 Uncaught 
 [JUMP] canJumpNow=true, isJumping=false, grounded=true, canJump=true, coyote=0.12, jumpTime=0.00, vel.y=-0.00, pos.y=-0.00, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.00, vel.y=3.87, pos.y=0.06, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.02, vel.y=3.90, pos.y=0.13, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.03, vel.y=3.94, pos.y=0.20, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.05, vel.y=3.97, pos.y=0.26, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.07, vel.y=4.01, pos.y=0.33, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.08, vel.y=4.04, pos.y=0.40, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.10, vel.y=4.08, pos.y=0.46, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.12, vel.y=4.11, pos.y=0.53, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.13, vel.y=4.15, pos.y=0.60, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.15, vel.y=4.18, pos.y=0.67, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.17, vel.y=4.21, pos.y=0.74, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.18, vel.y=4.25, pos.y=0.81, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.20, vel.y=4.28, pos.y=0.88, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.22, vel.y=4.32, pos.y=0.96, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.23, vel.y=4.35, pos.y=1.03, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.25, vel.y=4.38, pos.y=1.10, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.27, vel.y=4.42, pos.y=1.17, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.28, vel.y=4.45, pos.y=1.25, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.30, vel.y=4.49, pos.y=1.32, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.30, vel.y=4.35, pos.y=1.40, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.30, vel.y=4.22, pos.y=1.47, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.30, vel.y=4.09, pos.y=1.53, slope=0.00
 [JUMP] canJumpNow=false, isJumping=true, grounded=false, canJump=false, coyote=0.00, jumpTime=0.30, vel.y=3.96, pos.y=1.60, slope=0.00
